root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.641023 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 82504:82660, ack 37, win 501, length 156
20:32:01.641076 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 82660:82816, ack 37, win 501, length 156
20:32:01.641125 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 82816:82972, ack 37, win 501, length 156
20:32:01.641277 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 82972:83128, ack 37, win 501, length 156
20:32:01.641420 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83128:83284, ack 37, win 501, length 156
20:32:01.641484 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83284:83440, ack 37, win 501, length 156
20:32:01.641539 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83440:83596, ack 37, win 501, length 156
20:32:01.641593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83596:83752, ack 37, win 501, length 156
20:32:01.641646 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83752:83908, ack 37, win 501, length 156
20:32:01.641699 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 83908:84064, ack 37, win 501, length 156
20:32:01.642920 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 80640, win 512, length 0
20:32:01.642920 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 82348, win 512, length 0
20:32:01.642967 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 84064:84220, ack 37, win 501, length 156
20:32:01.643109 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 84220:84576, ack 37, win 501, length 356
20:32:01.643154 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 84576:84732, ack 37, win 501, length 156
20:32:01.643193 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 84732:84888, ack 37, win 501, length 156
20:32:01.643235 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 84888:85044, ack 37, win 501, length 156
20:32:01.643274 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85044:85200, ack 37, win 501, length 156
20:32:01.643313 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85200:85356, ack 37, win 501, length 156
20:32:01.643448 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85356:85512, ack 37, win 501, length 156
20:32:01.643517 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85512:85668, ack 37, win 501, length 156
20:32:01.643576 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85668:85824, ack 37, win 501, length 156
20:32:01.643631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85824:85980, ack 37, win 501, length 156
20:32:01.643679 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 85980:86136, ack 37, win 501, length 156
20:32:01.643729 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86136:86292, ack 37, win 501, length 156
20:32:01.643769 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86292:86448, ack 37, win 501, length 156
20:32:01.643806 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86448:86604, ack 37, win 501, length 156
20:32:01.643866 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86604:86760, ack 37, win 501, length 156
20:32:01.643939 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86760:86916, ack 37, win 501, length 156
20:32:01.644001 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 86916:87072, ack 37, win 501, length 156
20:32:01.644040 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87072:87228, ack 37, win 501, length 156
20:32:01.644078 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87228:87384, ack 37, win 501, length 156
20:32:01.644114 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87384:87540, ack 37, win 501, length 156
20:32:01.644162 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87540:87696, ack 37, win 501, length 156
20:32:01.644212 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87696:87852, ack 37, win 501, length 156
20:32:01.644265 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 87852:88008, ack 37, win 501, length 156
20:32:01.644489 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 84064, win 512, length 0
20:32:01.644526 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88008:88164, ack 37, win 501, length 156
20:32:01.644633 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88164:88424, ack 37, win 501, length 260
20:32:01.644689 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88424:88580, ack 37, win 501, length 156
20:32:01.645053 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88580:88736, ack 37, win 501, length 156
20:32:01.645168 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88736:88892, ack 37, win 501, length 156
20:32:01.645228 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 88892:89048, ack 37, win 501, length 156
20:32:01.645268 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89048:89204, ack 37, win 501, length 156
20:32:01.645306 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89204:89360, ack 37, win 501, length 156
20:32:01.645360 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89360:89516, ack 37, win 501, length 156
20:32:01.645415 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89516:89672, ack 37, win 501, length 156
20:32:01.645489 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89672:89828, ack 37, win 501, length 156
20:32:01.646504 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 84220, win 512, length 0
20:32:01.646504 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 85044, win 509, length 0
20:32:01.646504 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 87228, win 512, length 0
20:32:01.646562 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89828:89984, ack 37, win 501, length 156
20:32:01.646758 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 89984:90444, ack 37, win 501, length 460
20:32:01.646932 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 90444:90600, ack 37, win 501, length 156
20:32:01.647072 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 90600:90756, ack 37, win 501, length 156
20:32:01.647187 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 90756:90912, ack 37, win 501, length 156
20:32:01.647312 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 88424, win 508, length 0
20:32:01.647338 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 90912:91068, ack 37, win 501, length 156
20:32:01.647441 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91068:91328, ack 37, win 501, length 260
20:32:01.647499 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91328:91484, ack 37, win 501, length 156
20:32:01.647723 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91484:91640, ack 37, win 501, length 156
20:32:01.647786 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91640:91796, ack 37, win 501, length 156
20:32:01.647840 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91796:91952, ack 37, win 501, length 156
20:32:01.647964 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 91952:92108, ack 37, win 501, length 156
20:32:01.647986 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 89204, win 512, length 0
20:32:01.648061 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92108:92368, ack 37, win 501, length 260
20:32:01.648121 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92368:92524, ack 37, win 501, length 156
20:32:01.648174 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92524:92680, ack 37, win 501, length 156
20:32:01.648229 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92680:92836, ack 37, win 501, length 156
20:32:01.648285 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92836:92992, ack 37, win 501, length 156
20:32:01.648339 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 92992:93148, ack 37, win 501, length 156
20:32:01.648415 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 93148:93304, ack 37, win 501, length 156
20:32:01.648502 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 89828, win 510, length 0
20:32:01.648578 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 93304:93564, ack 37, win 501, length 260
20:32:01.648656 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 93564:93720, ack 37, win 501, length 156
20:32:01.648738 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 93720:93876, ack 37, win 501, length 156
20:32:01.648868 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 93876:94032, ack 37, win 501, length 156
20:32:01.649359 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94032:94188, ack 37, win 501, length 156
20:32:01.649481 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94188:94344, ack 37, win 501, length 156
20:32:01.649630 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94344:94500, ack 37, win 501, length 156
20:32:01.649741 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94500:94656, ack 37, win 501, length 156
20:32:01.649797 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94656:94812, ack 37, win 501, length 156
20:32:01.649853 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94812:94968, ack 37, win 501, length 156
20:32:01.649906 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 94968:95124, ack 37, win 501, length 156
20:32:01.649960 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 95124:95280, ack 37, win 501, length 156
20:32:01.650447 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 95280:95436, ack 37, win 501, length 156
20:32:01.650482 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 90756, win 512, length 0
20:32:01.650593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 95436:95696, ack 37, win 501, length 260
20:32:01.650719 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 95696:95852, ack 37, win 501, length 156
20:32:01.650795 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 95852:96008, ack 37, win 501, length 156
20:32:01.650996 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96008:96164, ack 37, win 501, length 156
20:32:01.651111 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96164:96320, ack 37, win 501, length 156
20:32:01.651178 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96320:96476, ack 37, win 501, length 156
20:32:01.651232 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96476:96632, ack 37, win 501, length 156
20:32:01.652163 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 93876, win 512, length 0
20:32:01.652206 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96632:96788, ack 37, win 501, length 156
20:32:01.652317 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 96788:97048, ack 37, win 501, length 260
20:32:01.652372 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97048:97204, ack 37, win 501, length 156
20:32:01.652435 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97204:97360, ack 37, win 501, length 156
20:32:01.652581 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97360:97516, ack 37, win 501, length 156
20:32:01.652646 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97516:97672, ack 37, win 501, length 156
20:32:01.652697 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97672:97828, ack 37, win 501, length 156
20:32:01.652749 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97828:97984, ack 37, win 501, length 156
20:32:01.652813 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 97984:98140, ack 37, win 501, length 156
20:32:01.652871 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 98140:98296, ack 37, win 501, length 156
20:32:01.653777 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 95124, win 508, length 0
20:32:01.653777 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 96164, win 512, length 0
20:32:01.653816 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 98296:98452, ack 37, win 501, length 156
20:32:01.653959 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 98452:98808, ack 37, win 501, length 356
20:32:01.654020 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 98808:98964, ack 37, win 501, length 156
20:32:01.654307 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 98964:99120, ack 37, win 501, length 156
20:32:01.654434 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 99120:99276, ack 37, win 501, length 156
20:32:01.654592 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 99276:99432, ack 37, win 501, length 156
20:32:01.654649 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 96632, win 511, length 0
20:32:01.654738 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 99432:99692, ack 37, win 501, length 260
20:32:01.654836 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 99692:99848, ack 37, win 501, length 156
20:32:01.654954 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 99848:100004, ack 37, win 501, length 156
20:32:01.655050 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100004:100160, ack 37, win 501, length 156
20:32:01.655147 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100160:100316, ack 37, win 501, length 156
20:32:01.655236 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100316:100472, ack 37, win 501, length 156
20:32:01.655427 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100472:100628, ack 37, win 501, length 156
20:32:01.655559 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100628:100784, ack 37, win 501, length 156
20:32:01.655660 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100784:100940, ack 37, win 501, length 156
20:32:01.655751 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 98140, win 512, length 0
20:32:01.655803 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 100940:101096, ack 37, win 501, length 156
20:32:01.655864 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 101096:101392, ack 37, win 501, length 296
20:32:01.655917 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 101392:101548, ack 37, win 501, length 156
20:32:01.656028 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 101548:101704, ack 37, win 501, length 156
20:32:01.656260 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 101704:101860, ack 37, win 501, length 156
20:32:01.656976 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 98808, win 510, length 0
20:32:01.656976 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 99432, win 507, length 0
20:32:01.657518 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 101860:102216, ack 37, win 501, length 356
20:32:01.657669 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102216:102372, ack 37, win 501, length 156
20:32:01.657770 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102372:102528, ack 37, win 501, length 156
20:32:01.657846 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102528:102684, ack 37, win 501, length 156
20:32:01.657950 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102684:102840, ack 37, win 501, length 156
20:32:01.658239 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102840:102996, ack 37, win 501, length 156
20:32:01.658683 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [P.], seq 37:73, ack 99432, win 507, length 36
20:32:01.658683 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 100472, win 512, length 0
20:32:01.658684 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 101860, win 512, length 0
20:32:01.658721 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 102996:103152, ack 73, win 501, length 156
20:32:01.658949 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 103152:103628, ack 73, win 501, length 476
20:32:01.659153 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 103628:103784, ack 73, win 501, length 156
20:32:01.659216 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 103784:103940, ack 73, win 501, length 156
20:32:01.659271 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 103940:104096, ack 73, win 501, length 156
20:32:01.659323 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104096:104252, ack 73, win 501, length 156
20:32:01.659376 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104252:104408, ack 73, win 501, length 156
20:32:01.659511 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104408:104564, ack 73, win 501, length 156
20:32:01.659655 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104564:104720, ack 73, win 501, length 156
20:32:01.659761 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104720:104876, ack 73, win 501, length 156
20:32:01.659858 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 104876:105032, ack 73, win 501, length 156
20:32:01.659956 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105032:105188, ack 73, win 501, length 156
20:32:01.660046 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105188:105344, ack 73, win 501, length 156
20:32:01.660215 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 102840, win 509, length 0
20:32:01.660285 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105344:105604, ack 73, win 501, length 260
20:32:01.660347 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105604:105760, ack 73, win 501, length 156
20:32:01.660400 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105760:105916, ack 73, win 501, length 156
20:32:01.660638 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 105916:106072, ack 73, win 501, length 156
20:32:01.660772 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106072:106228, ack 73, win 501, length 156
20:32:01.660867 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106228:106384, ack 73, win 501, length 156
20:32:01.660958 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106384:106540, ack 73, win 501, length 156
20:32:01.661045 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106540:106696, ack 73, win 501, length 156
20:32:01.661138 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106696:106852, ack 73, win 501, length 156
20:32:01.661198 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 106852:107008, ack 73, win 501, length 156
20:32:01.661258 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107008:107164, ack 73, win 501, length 156
20:32:01.661311 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107164:107320, ack 73, win 501, length 156
20:32:01.661495 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107320:107476, ack 73, win 501, length 156
20:32:01.661679 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107476:107632, ack 73, win 501, length 156
20:32:01.661747 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107632:107788, ack 73, win 501, length 156
20:32:01.661803 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107788:107944, ack 73, win 501, length 156
20:32:01.661858 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 107944:108100, ack 73, win 501, length 156
20:32:01.661911 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108100:108256, ack 73, win 501, length 156
20:32:01.661966 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108256:108412, ack 73, win 501, length 156
20:32:01.662285 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108412:108568, ack 73, win 501, length 156
20:32:01.662392 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108568:108724, ack 73, win 501, length 156
20:32:01.662446 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108724:108880, ack 73, win 501, length 156
20:32:01.662501 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108880:109036, ack 73, win 501, length 156
20:32:01.662553 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 109036:109192, ack 73, win 501, length 156
20:32:01.662647 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 109192:109348, ack 73, win 501, length 156
20:32:01.663663 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 102996, win 508, length 0
20:32:01.663663 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 104408, win 512, length 0
20:32:01.663663 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 105188, win 509, length 0
20:32:01.663727 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 109348:109504, ack 73, win 501, length 156
20:32:01.663910 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 109504:109964, ack 73, win 501, length 460
20:32:01.663992 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 109964:110120, ack 73, win 501, length 156
20:32:01.664044 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110120:110276, ack 73, win 501, length 156
20:32:01.664094 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110276:110432, ack 73, win 501, length 156
20:32:01.664137 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110432:110588, ack 73, win 501, length 156
20:32:01.664179 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110588:110744, ack 73, win 501, length 156
20:32:01.664228 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110744:110900, ack 73, win 501, length 156
20:32:01.664279 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 110900:111056, ack 73, win 501, length 156
20:32:01.664330 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111056:111212, ack 73, win 501, length 156
20:32:01.664383 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111212:111368, ack 73, win 501, length 156
20:32:01.664453 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111368:111524, ack 73, win 501, length 156
20:32:01.664508 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111524:111680, ack 73, win 501, length 156
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 105916, win 512, length 0
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 106540, win 510, length 0
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 107632, win 512, length 0
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 108412, win 509, length 0
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 109348, win 512, length 0
20:32:01.666811 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 111680, win 512, length 0
20:32:01.666881 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111680:111836, ack 73, win 501, length 156
20:32:01.667227 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 111836:112608, ack 73, win 501, length 772
20:32:01.667446 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 112608:112764, ack 73, win 501, length 156
20:32:01.667514 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 112764:112920, ack 73, win 501, length 156
20:32:01.667631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 112920:113076, ack 73, win 501, length 156
20:32:01.667695 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113076:113232, ack 73, win 501, length 156
20:32:01.667764 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113232:113388, ack 73, win 501, length 156
20:32:01.667817 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113388:113544, ack 73, win 501, length 156
20:32:01.667871 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113544:113700, ack 73, win 501, length 156
20:32:01.668206 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113700:113856, ack 73, win 501, length 156
20:32:01.668309 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 113856:114012, ack 73, win 501, length 156
20:32:01.668375 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114012:114168, ack 73, win 501, length 156
20:32:01.668431 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114168:114324, ack 73, win 501, length 156
20:32:01.668486 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114324:114480, ack 73, win 501, length 156
20:32:01.668543 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114480:114636, ack 73, win 501, length 156
20:32:01.668597 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114636:114792, ack 73, win 501, length 156
20:32:01.668804 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114792:114948, ack 73, win 501, length 156
20:32:01.668957 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 114948:115104, ack 73, win 501, length 156
20:32:01.669034 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115104:115260, ack 73, win 501, length 156
