root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.116044 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 85220:85384, ack 37, win 501, length 164
20:32:36.116105 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 85384:85548, ack 37, win 501, length 164
20:32:36.116157 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 85548:85712, ack 37, win 501, length 164
20:32:36.116213 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 85712:85876, ack 37, win 501, length 164
20:32:36.116271 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 85876:86040, ack 37, win 501, length 164
20:32:36.116328 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86040:86204, ack 37, win 501, length 164
20:32:36.116382 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86204:86368, ack 37, win 501, length 164
20:32:36.116436 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86368:86532, ack 37, win 501, length 164
20:32:36.116505 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 78184, win 512, length 0
20:32:36.116527 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86532:86696, ack 37, win 501, length 164
20:32:36.116578 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86696:86964, ack 37, win 501, length 268
20:32:36.116617 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 86964:87128, ack 37, win 501, length 164
20:32:36.116657 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87128:87292, ack 37, win 501, length 164
20:32:36.116726 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87292:87456, ack 37, win 501, length 164
20:32:36.116781 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87456:87620, ack 37, win 501, length 164
20:32:36.116841 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87620:87784, ack 37, win 501, length 164
20:32:36.116900 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87784:87948, ack 37, win 501, length 164
20:32:36.116962 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 87948:88112, ack 37, win 501, length 164
20:32:36.117016 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88112:88276, ack 37, win 501, length 164
20:32:36.117072 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88276:88440, ack 37, win 501, length 164
20:32:36.117127 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88440:88604, ack 37, win 501, length 164
20:32:36.117182 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88604:88768, ack 37, win 501, length 164
20:32:36.117236 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88768:88932, ack 37, win 501, length 164
20:32:36.117283 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 88932:89096, ack 37, win 501, length 164
20:32:36.117331 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 89096:89260, ack 37, win 501, length 164
20:32:36.117343 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 80584, win 512, length 0
20:32:36.117421 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 89260:89528, ack 37, win 501, length 268
20:32:36.117471 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 89528:89692, ack 37, win 501, length 164
20:32:36.117520 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 89692:89856, ack 37, win 501, length 164
20:32:36.117576 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 89856:90020, ack 37, win 501, length 164
20:32:36.117632 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90020:90184, ack 37, win 501, length 164
20:32:36.117687 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90184:90348, ack 37, win 501, length 164
20:32:36.117743 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90348:90512, ack 37, win 501, length 164
20:32:36.117795 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90512:90676, ack 37, win 501, length 164
20:32:36.117863 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90676:90840, ack 37, win 501, length 164
20:32:36.117915 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 90840:91004, ack 37, win 501, length 164
20:32:36.117961 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91004:91168, ack 37, win 501, length 164
20:32:36.118007 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91168:91332, ack 37, win 501, length 164
20:32:36.118052 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91332:91496, ack 37, win 501, length 164
20:32:36.118098 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91496:91660, ack 37, win 501, length 164
20:32:36.118143 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91660:91824, ack 37, win 501, length 164
20:32:36.118189 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91824:91988, ack 37, win 501, length 164
20:32:36.118304 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 82000, win 512, length 0
20:32:36.118319 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 91988:92152, ack 37, win 501, length 164
20:32:36.118379 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 92152:92420, ack 37, win 501, length 268
20:32:36.118601 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 92420:92584, ack 37, win 501, length 164
20:32:36.118655 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 92584:92748, ack 37, win 501, length 164
20:32:36.118705 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 92748:92912, ack 37, win 501, length 164
20:32:36.118778 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 92912:93076, ack 37, win 501, length 164
20:32:36.118826 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 93076:93240, ack 37, win 501, length 164
20:32:36.118892 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 93240:93404, ack 37, win 501, length 164
20:32:36.119177 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 85876, win 512, length 0
20:32:36.119203 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 93404:93568, ack 37, win 501, length 164
20:32:36.119280 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 93568:93836, ack 37, win 501, length 268
20:32:36.119335 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 93836:94000, ack 37, win 501, length 164
20:32:36.119386 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94000:94164, ack 37, win 501, length 164
20:32:36.119438 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94164:94328, ack 37, win 501, length 164
20:32:36.119491 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94328:94492, ack 37, win 501, length 164
20:32:36.119546 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94492:94656, ack 37, win 501, length 164
20:32:36.119598 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94656:94820, ack 37, win 501, length 164
20:32:36.119655 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94820:94984, ack 37, win 501, length 164
20:32:36.119710 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 94984:95148, ack 37, win 501, length 164
20:32:36.119762 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95148:95312, ack 37, win 501, length 164
20:32:36.119821 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95312:95476, ack 37, win 501, length 164
20:32:36.119871 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95476:95640, ack 37, win 501, length 164
20:32:36.119920 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95640:95804, ack 37, win 501, length 164
20:32:36.119970 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95804:95968, ack 37, win 501, length 164
20:32:36.120025 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 95968:96132, ack 37, win 501, length 164
20:32:36.120142 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96132:96296, ack 37, win 501, length 164
20:32:36.120223 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96296:96460, ack 37, win 501, length 164
20:32:36.120287 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96460:96624, ack 37, win 501, length 164
20:32:36.120327 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96624:96788, ack 37, win 501, length 164
20:32:36.120365 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96788:96952, ack 37, win 501, length 164
20:32:36.120412 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 96952:97116, ack 37, win 501, length 164
20:32:36.120461 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 97116:97280, ack 37, win 501, length 164
20:32:36.120510 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 97280:97444, ack 37, win 501, length 164
20:32:36.121164 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 87456, win 512, length 0
20:32:36.121164 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 89528, win 512, length 0
20:32:36.121164 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 92912, win 512, length 0
20:32:36.121206 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 97444:97608, ack 37, win 501, length 164
20:32:36.121376 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 97608:98092, ack 37, win 501, length 484
20:32:36.121502 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 93568, win 510, length 0
20:32:36.121539 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98092:98256, ack 37, win 501, length 164
20:32:36.121677 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98256:98524, ack 37, win 501, length 268
20:32:36.121738 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98524:98688, ack 37, win 501, length 164
20:32:36.121779 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98688:98852, ack 37, win 501, length 164
20:32:36.121852 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98852:99016, ack 37, win 501, length 164
20:32:36.121904 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99016:99180, ack 37, win 501, length 164
20:32:36.121973 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99180:99344, ack 37, win 501, length 164
20:32:36.122022 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99344:99508, ack 37, win 501, length 164
20:32:36.122063 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99508:99672, ack 37, win 501, length 164
20:32:36.122118 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99672:99836, ack 37, win 501, length 164
20:32:36.122171 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 99836:100000, ack 37, win 501, length 164
20:32:36.122222 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100000:100164, ack 37, win 501, length 164
20:32:36.122292 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100164:100328, ack 37, win 501, length 164
20:32:36.122338 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100328:100492, ack 37, win 501, length 164
20:32:36.122379 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100492:100656, ack 37, win 501, length 164
20:32:36.122637 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100656:100820, ack 37, win 501, length 164
20:32:36.122696 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100820:100984, ack 37, win 501, length 164
20:32:36.122747 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 100984:101148, ack 37, win 501, length 164
20:32:36.122805 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101148:101312, ack 37, win 501, length 164
20:32:36.122874 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101312:101476, ack 37, win 501, length 164
20:32:36.122943 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101476:101640, ack 37, win 501, length 164
20:32:36.123002 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101640:101804, ack 37, win 501, length 164
20:32:36.123053 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101804:101968, ack 37, win 501, length 164
20:32:36.123108 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 101968:102132, ack 37, win 501, length 164
20:32:36.123164 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102132:102296, ack 37, win 501, length 164
20:32:36.123214 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102296:102460, ack 37, win 501, length 164
20:32:36.123255 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102460:102624, ack 37, win 501, length 164
20:32:36.123297 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102624:102788, ack 37, win 501, length 164
20:32:36.123338 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102788:102952, ack 37, win 501, length 164
20:32:36.123377 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 102952:103116, ack 37, win 501, length 164
20:32:36.123417 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 103116:103280, ack 37, win 501, length 164
20:32:36.123431 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 95640, win 512, length 0
20:32:36.123431 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 97608, win 512, length 0
20:32:36.123514 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 103280:103660, ack 37, win 501, length 380
20:32:36.123567 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 103660:103824, ack 37, win 501, length 164
20:32:36.123607 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 103824:103988, ack 37, win 501, length 164
20:32:36.123646 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 103988:104152, ack 37, win 501, length 164
20:32:36.123689 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104152:104316, ack 37, win 501, length 164
20:32:36.123789 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104316:104480, ack 37, win 501, length 164
20:32:36.123865 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104480:104644, ack 37, win 501, length 164
20:32:36.123908 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104644:104808, ack 37, win 501, length 164
20:32:36.123948 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104808:104972, ack 37, win 501, length 164
20:32:36.123999 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 104972:105136, ack 37, win 501, length 164
20:32:36.124050 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105136:105300, ack 37, win 501, length 164
20:32:36.124091 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105300:105464, ack 37, win 501, length 164
20:32:36.124140 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105464:105628, ack 37, win 501, length 164
20:32:36.124195 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105628:105792, ack 37, win 501, length 164
20:32:36.124244 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105792:105956, ack 37, win 501, length 164
20:32:36.124286 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:98852}], length 0
20:32:36.124327 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 105956:106120, ack 37, win 501, length 164
20:32:36.124404 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 106120:106428, ack 37, win 501, length 308
20:32:36.124489 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 106428:106592, ack 37, win 501, length 164
20:32:36.124659 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 106592:106756, ack 37, win 501, length 164
20:32:36.124678 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:100328}], length 0
20:32:36.124698 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 98524:98688, ack 37, win 501, length 164
20:32:36.124799 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 106756:107192, ack 37, win 501, length 436
20:32:36.124892 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 107192:107356, ack 37, win 501, length 164
20:32:36.125191 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 107356:107520, ack 37, win 501, length 164
20:32:36.125337 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 107520:107684, ack 37, win 501, length 164
20:32:36.125403 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 107684:107848, ack 37, win 501, length 164
20:32:36.125459 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 107848:108012, ack 37, win 501, length 164
20:32:36.125502 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108012:108176, ack 37, win 501, length 164
20:32:36.125540 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108176:108340, ack 37, win 501, length 164
20:32:36.126290 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:102460}], length 0
20:32:36.126336 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108340:108504, ack 37, win 501, length 164
20:32:36.126638 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108504:108812, ack 37, win 501, length 308
20:32:36.126706 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108812:108976, ack 37, win 501, length 164
20:32:36.126760 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108976:109140, ack 37, win 501, length 164
20:32:36.126817 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:103280}], length 0
20:32:36.126817 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:103660}], length 0
20:32:36.126818 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:105792}], length 0
20:32:36.126837 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 109140:109304, ack 37, win 501, length 164
20:32:36.126968 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 109304:109908, ack 37, win 501, length 604
20:32:36.127020 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 109908:110072, ack 37, win 501, length 164
20:32:36.127058 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110072:110236, ack 37, win 501, length 164
20:32:36.127096 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110236:110400, ack 37, win 501, length 164
20:32:36.127146 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110400:110564, ack 37, win 501, length 164
20:32:36.127191 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110564:110728, ack 37, win 501, length 164
20:32:36.127235 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110728:110892, ack 37, win 501, length 164
20:32:36.127282 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 110892:111056, ack 37, win 501, length 164
20:32:36.127332 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111056:111220, ack 37, win 501, length 164
20:32:36.127385 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111220:111384, ack 37, win 501, length 164
20:32:36.127456 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111384:111548, ack 37, win 501, length 164
20:32:36.127514 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111548:111712, ack 37, win 501, length 164
20:32:36.127594 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111712:111876, ack 37, win 501, length 164
20:32:36.128237 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:106120}], length 0
20:32:36.128237 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:106428}], length 0
20:32:36.128237 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:106592}], length 0
20:32:36.128267 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 111876:112040, ack 37, win 501, length 164
20:32:36.128407 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 112040:112644, ack 37, win 501, length 604
20:32:36.130049 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 106756, win 512, length 0
20:32:36.130049 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 109140, win 512, length 0
20:32:36.130050 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 98524, win 509, options [nop,nop,sack 1 {98688:106756}], length 0
20:32:36.130110 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 112644:112808, ack 37, win 501, length 164
20:32:36.130238 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 111876, win 512, length 0
20:32:36.130331 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 112808:113444, ack 37, win 501, length 636
20:32:36.130395 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 113444:113608, ack 37, win 501, length 164
20:32:36.130601 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 113608:113772, ack 37, win 501, length 164
20:32:36.130681 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 113772:113936, ack 37, win 501, length 164
20:32:36.130751 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 113936:114100, ack 37, win 501, length 164
20:32:36.130817 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114100:114264, ack 37, win 501, length 164
20:32:36.130893 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114264:114428, ack 37, win 501, length 164
20:32:36.131091 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114428:114592, ack 37, win 501, length 164
20:32:36.131230 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114592:114756, ack 37, win 501, length 164
20:32:36.131310 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114756:114920, ack 37, win 501, length 164
20:32:36.131367 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 114920:115084, ack 37, win 501, length 164
20:32:36.131531 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 112644, win 509, length 0
20:32:36.131548 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 115084:115248, ack 37, win 501, length 164
20:32:36.131568 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [P.], seq 37:73, ack 112644, win 509, length 36
20:32:36.131659 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 115248:115644, ack 73, win 501, length 396
20:32:36.131714 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 115644:115808, ack 73, win 501, length 164
20:32:36.131766 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 115808:115972, ack 73, win 501, length 164
20:32:36.131923 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 115972:116136, ack 73, win 501, length 164
20:32:36.131987 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116136:116300, ack 73, win 501, length 164
20:32:36.132039 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116300:116464, ack 73, win 501, length 164
20:32:36.132113 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116464:116628, ack 73, win 501, length 164
20:32:36.132189 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116628:116792, ack 73, win 501, length 164
20:32:36.132249 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116792:116956, ack 73, win 501, length 164
20:32:36.132299 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 116956:117120, ack 73, win 501, length 164
20:32:36.132363 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117120:117284, ack 73, win 501, length 164
20:32:36.132422 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117284:117448, ack 73, win 501, length 164
20:32:36.132475 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117448:117612, ack 73, win 501, length 164
20:32:36.132542 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117612:117776, ack 73, win 501, length 164
20:32:36.132601 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117776:117940, ack 73, win 501, length 164
20:32:36.132653 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 117940:118104, ack 73, win 501, length 164
20:32:36.132709 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 118104:118268, ack 73, win 501, length 164
20:32:36.132761 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 118268:118432, ack 73, win 501, length 164
